seqnames start end width strand gene_symbol start_position end_position
chr8 18248755 18258723 9969 + NAT2 18238755 18268723
chr4 103422486 103538459 115974 + NFKB1 103412486 103548459
chr10 104153867 104162286 8420 + NFKB2 104143867 104172286
chr14 35870716 35873960 3245 - NFKBIA 35860716 35883960
chr19 39390340 39399534 9195 + NFKBIB 39380340 39409534
chr1 247579458 247612406 32949 + NLRP3 247569458 247622406
chr16 50727514 50766987 39474 + NOD2 50717514 50776987
chr12 117645947 117799607 153661 - NOS1 117635947 117809607
chr17 26083792 26220409 136618 - NOS2 26073792 26230409
chr7 150688144 150711687 23544 + NOS3 150678144 150721687
chr16 2089816 2097867 8052 - NTHL1 2079816 2107867
chr3 9791628 9808353 16726 + OGG1 9781628 9818353
chr12 10310899 10324790 13892 - OLR1 10300899 10334790
chr12 121570622 121624354 53733 + P2RX7 121560622 121634354
chr1 226548392 226595801 47410 - PARP1 226538392 226605801
chr20 5095599 5107268 11670 - PCNA 5085599 5117268
chr22 39619685 39640957 21273 - PDGFB 39609685 39650957
chr4 157682763 157892546 209784 - PDGFC 157672763 157902546
chr11 103777914 104035027 257114 - PDGFD 103767914 104045027
chr4 54243820 55164412 920593 + PDGFRA 54233820 55174412
chr5 149493402 149535422 42021 - PDGFRB 149483402 149545422
chr17 62396777 62407083 10307 - PECAM1 62386777 62417083
chr19 50364460 50370822 6363 - PNKP 50354460 50380822
chr8 42195973 42229331 33359 + POLB 42185973 42239331
chr19 50887580 50921275 33696 + POLD1 50877580 50931275
chr7 44154279 44163169 8891 - POLD2 44144279 44173169
chr12 133200348 133263945 63598 - POLE 133190348 133273945
chr18 51795849 51824604 28756 + POLI 51785849 51834604
chr10 103338639 103348027 9389 - POLL 103328639 103358027
chr7 94927669 95025687 98019 - PON1 94917669 95035687
chr9 125132809 125157982 25174 + PTGS1 125122809 125167982
chr1 186640944 186649559 8616 - PTGS2 186630944 186659559
chr1 114356433 114414375 57943 - PTPN22 114346433 114424375
chr6 150204511 150217195 12685 - RAET1E 150194511 150227195
chr6 150238014 150244214 6201 - RAET1G 150228014 150254214
chr6 150341266 150346668 5403 - RAET1L 150331266 150356668
chr19 45504707 45541456 36750 + RELB 45494707 45551456
chr4 39289069 39368001 78933 - RFC1 39279069 39378001
chr7 73645832 73668738 22907 - RFC2 73635832 73678738
chr13 34392206 34540695 148490 + RFC3 34382206 34550695
chr3 186507682 186524484 16803 - RFC4 186497682 186534484
chr12 118454506 118470042 15537 + RFC5 118444506 118480042
chr1 169659806 169680843 21038 - SELL 169649806 169690843
chr5 131630145 131679899 49755 + SLC22A4 131620145 131689899
chr5 131705401 131731306 25906 + SLC22A5 131695401 131741306
chr12 54574142 54582778 8637 - SMUG1 54564142 54592778
chr2 191894302 192038902 144601 - STAT4 191884302 192048902
chr11 59620281 59634041 13761 - TCN1 59610281 59644041
chr22 31003070 31023047 19978 + TCN2 30993070 31033047
chr12 104359593 104382656 23064 + TDG 104349593 104392656
chr19 41836812 41859831 23020 - TGFB1 41826812 41869831
chr1 218518676 218617961 99286 + TGFB2 218508676 218627961
chr9 101867412 101916473 49062 + TGFBR1 101857412 101926473
chr3 30647994 30735633 87640 + TGFBR2 30637994 30745633
chr1 92145900 92371559 225660 - TGFBR3 92135900 92381559
chr20 23026270 23030301 4032 - THBD 23016270 23040301
chr4 38797876 38806412 8537 - TLR1 38787876 38816412
chr4 38773860 38784611 10752 - TLR10 38763860 38794611
chr4 154605441 154627242 21802 + TLR2 154595441 154637242
chr4 186990309 187006252 15944 + TLR3 186980309 187016252
chr9 120466453 120479769 13317 + TLR4 120456453 120489769
chr1 223282748 223316624 33877 - TLR5 223272748 223326624
chr4 38825329 38858438 33110 - TLR6 38815329 38868438
chr3 52255096 52265247 10152 - TLR9 52245096 52275247
chr6 31543344 31546113 2770 + TNF 31533344 31556113
chr8 23048970 23082680 33711 - TNFRSF10A 23038970 23092680
chr18 59992520 60054943 62424 + TNFRSF11A 59982520 60064943
chr12 6437923 6451283 13361 - TNFRSF1A 6427923 6461283
chr1 12227060 12269277 42218 + TNFRSF1B 12217060 12279277
chr3 172223298 172241297 18000 - TNFSF10 172213298 172251297
chr1 173152870 173176471 23602 - TNFSF4 173142870 173186471
chr22 50964181 50968514 4334 - TYMP 50954181 50978514
chr6 150383341 150390283 6943 - ULBP3 150373341 150400283
chr12 109535399 109548798 13400 + UNG 109525399 109558798
chr12 48235320 48298814 63495 - VDR 48225320 48308814
chr19 44047464 44079730 32267 - XRCC1 44037464 44089730
