seqnames start end width strand gene_symbol
chr12 10310899 10324790 13892 - OLR1
chr12 121570622 121624354 53733 + P2RX7
chr20 5095599 5107268 11670 - PCNA
chr22 39619685 39640957 21273 - PDGFB
chr4 54243820 55164412 920593 + PDGFRA
chr5 149493402 149535422 42021 - PDGFRB
chr17 62396777 62407083 10307 - PECAM1
chr7 87133179 87342639 209461 - ABCB1
chr3 52255096 52265247 10152 - TLR9
chr8 42195973 42229331 33359 + POLB
chr19 50887580 50921275 33696 + POLD1
chr7 44154279 44163169 8891 - POLD2
chr12 133200348 133263945 63598 - POLE
chr7 94927669 95025687 98019 - PON1
chr4 157682763 157892546 209784 - PDGFC
chr9 125132809 125157982 25174 + PTGS1
chr1 186640944 186649559 8616 - PTGS2
chr19 45504707 45541456 36750 + RELB
chr4 39289069 39368001 78933 - RFC1
chr7 73645832 73668738 22907 - RFC2
chr13 34392206 34540695 148490 + RFC3
chr3 186507682 186524484 16803 - RFC4
chr12 118454506 118470042 15537 + RFC5
chr17 32582296 32584220 1925 + CCL2
chr1 169659806 169680843 21038 - SELL
chr16 50727514 50766987 39474 + NOD2
chr5 131630145 131679899 49755 + SLC22A4
chr5 131705401 131731306 25906 + SLC22A5
chr2 191894302 192038902 144601 - STAT4
chr11 59620281 59634041 13761 - TCN1
chr22 31003070 31023047 19978 + TCN2
chr12 104359593 104382656 23064 + TDG
chr19 41836812 41859831 23020 - TGFB1
chr1 218518676 218617961 99286 + TGFB2
chr9 101867412 101916473 49062 + TGFBR1
chr3 30647994 30735633 87640 + TGFBR2
chr1 92145900 92371559 225660 - TGFBR3
chr20 23026270 23030301 4032 - THBD
chr4 38797876 38806412 8537 - TLR1
chr4 154605441 154627242 21802 + TLR2
chr4 186990309 187006252 15944 + TLR3
chr9 120466453 120479769 13317 + TLR4
chr1 223282748 223316624 33877 - TLR5
chr12 6437923 6451283 13361 - TNFRSF1A
chr1 12227060 12269277 42218 + TNFRSF1B
chr19 6677846 6720662 42817 - C3
chr1 173152870 173176471 23602 - TNFSF4
chr12 109535399 109548798 13400 + UNG
chr12 48235320 48298814 63495 - VDR
chr19 44047464 44079730 32267 - XRCC1
chr6 150383341 150390283 6943 - ULBP3
chr11 103777914 104035027 257114 - PDGFD
chr19 496490 505343 8854 + MADCAM1
chr4 38773860 38784611 10752 - TLR10
chr3 172223298 172241297 18000 - TNFSF10
chr21 44473301 44496472 23172 - CBS
chr18 59992520 60054943 62424 + TNFRSF11A
chr8 23048970 23082680 33711 - TNFRSF10A
chr3 129149787 129159022 9236 - MBD4
chr8 18027971 18081198 53228 + NAT1
chr5 140011313 140013286 1974 - CD14
chr2 204571198 204603636 32439 + CD28
chr3 121774209 121839988 65780 + CD86
chr4 89011416 89152474 141059 - ABCG2
chr20 44746906 44758384 11479 + CD40
chr6 31543344 31546113 2770 + TNF
chr1 110198698 110283660 84963 + GSTM
