chr	gene	nSNPs	nSims	start	stop	Test	geneBased.pval	topSNP	topSNP.pval	genome	cohort	outcome	disease
6	IFNGR1	82	1e+06	137508620	137550567	246.579305773487	0.000464999535000465	rs9402876	8.17498612158958e-05	D	c1	DD	ALLonly
21	IFNGR2	160	1000	34765201	34819828	79.3634896063394	0.823176823176823	rs140375916	0.0221145829057506	D	c1	DD	ALLonly
8	IKBKB	164	1e+05	42118819	42200171	521.07191529633	0.00550994490055099	rs117711940	0.000259422963195809	D	c1	DD	ALLonly
1	IL10	73	1000	206930947	206955839	58.0539950467506	0.43956043956044	rs80153606	0.0354293215335694	D	c1	DD	ALLonly
11	IL10RA	107	1000	117847105	117882199	141.142560422237	0.152847152847153	rs17121510	0.0228917434039406	D	c1	DD	ALLonly
21	IL10RB	175	1000	34628664	34679539	94.1219754807049	0.78021978021978	rs28741380	0.00486101156244944	D	c1	DD	ALLonly
3	IL12A	89	1000	159696622	159723806	50.2651017152509	0.654345654345654	rs2243154	0.114203338142346	D	c1	DD	ALLonly
5	IL12B	84	1000	158731790	158767481	97.5273199135844	0.191808191808192	rs112377695	0.0249759087723432	D	c1	DD	ALLonly
19	IL12RB1	270	1000	18159804	18219626	409.017298427242	0.115884115884116	rs146978336	0.000477772792814141	D	c1	DD	ALLonly
5	IL13	49	1000	131983864	132006801	39.661848784763	0.385614385614386	rs2243302	0.0182814285419127	D	c1	DD	ALLonly
10	IL15RA	254	1000	5984333	6030150	326.790340676731	0.113886113886114	rs3136630	0.00439280259466024	D	c1	DD	ALLonly
11	IL18	112	1000	112003973	112044840	51.4874702806176	0.781218781218781	rs5744287	0.110616873888754	D	c1	DD	ALLonly
2	IL1A	89	1000	113521491	113552971	37.56561108726	0.676323676323676	rs138451217	0.04392164364258	D	c1	DD	ALLonly
2	IL1B	64	1000	113577336	113604356	47.9850776806851	0.430569430569431	rs13009179	0.0353513992038807	D	c1	DD	ALLonly
2	IL1R1	427	1000	102676835	102806334	272.689477757656	0.696303696303696	rs56927853	0.044777133322822	D	c1	DD	ALLonly
2	IL1RN	172	1000	113865469	113901593	131.439439488808	0.442557442557443	rs62161280	0.0055671358767838	D	c1	DD	ALLonly
4	IL2	54	10000	123362625	123387650	127.099699010163	0.0326967303269673	rs4833248	0.00392941210125762	D	c1	DD	ALLonly
1	IL23R	343	1000	67622168	67735650	248.765257456715	0.662337662337662	rs145921845	0.0439995048148603	D	c1	DD	ALLonly
10	IL2RA	341	1000	6042656	6114333	346.901241501152	0.267732267732268	rs10795763	0.0195945132495263	D	c1	DD	ALLonly
5	IL4	73	10000	131999677	132028370	155.036140982732	0.0525947405259474	rs11747814	0.00344254780819965	D	c1	DD	ALLonly
16	IL4R	257	10000	27315229	27386099	508.894024718769	0.0293970602939706	rs187744302	0.00337200174656681	D	c1	DD	ALLonly
7	IL6	114	1000	22756765	22781621	171.352814417798	0.110889110889111	rs10242595	0.0126337771090158	D	c1	DD	ALLonly
1	IL6R	215	1000	154367668	154451926	164.345543813935	0.513486513486514	rs149219382	0.0118953036839877	D	c1	DD	ALLonly
5	IL7R	156	1000	35846976	35889705	77.072772575409	0.714285714285714	rs143439383	0.0261840615205446	D	c1	DD	ALLonly
19	IRF3	43	1000	50152825	50179132	42.4005327333005	0.31968031968032	rs34739574	0.0128884244608124	D	c1	DD	ALLonly
12	KLRK1	113	1000	10514951	10552653	80.2306997805451	0.517482517482518	rs2617164	0.0660162357850322	D	c1	DD	ALLonly
19	LIG1	317	1000	48608701	48683860	92.5904808590672	0.96003996003996	rs186243495	0.0290738456508918	D	c1	DD	ALLonly
17	LIG3	49	1000	33297516	33342088	20.3768547461772	0.851148851148851	rs3136027	0.0653924429739944	D	c1	DD	ALLonly
12	LRP1	171	1000	57512281	57617125	153.07218119806	0.401598401598402	rs191131370	0.0044588858153616	D	c1	DD	ALLonly
19	MADCAM1	165	1000	486489	515343	83.7630317671768	0.957042957042957	rs78503407	0.0236231421550617	D	c1	DD	ALLonly
2	MAL	52	1000	95681399	95729737	44.9915547951819	0.532467532467532	rs77374723	0.0197683410898025	D	c1	DD	ALLonly
3	MBD4	78	1000	129139786	129169022	82.4942870336863	0.266733266733267	rs145418301	0.00652317129164959	D	c1	DD	ALLonly
10	MBL2	136	1000	54515139	54541460	144.884554728014	0.292707292707293	rs1982266	0.0164148309521411	D	c1	DD	ALLonly
12	MGST1	155	1000	16490075	16540123	157.615121063541	0.348651348651349	rs192745441	0.000353231525849209	D	c1	DD	ALLonly
22	MIF	110	1000	24226564	24247409	43.7930992597256	0.907092907092907	rs5760094	0.0800576205836524	D	c1	DD	ALLonly
16	MPG	107	1000	117017	145850	111.314223372043	0.297702297702298	rs8061816	0.0107135397394097	D	c1	DD	ALLonly
17	MPO	67	1000	56337216	56368296	59.3214190213972	0.435564435564436	rs147111089	0.0014993154169978	D	c1	DD	ALLonly
1	MTHFR	259	1000	11835786	11876160	82.7037831401019	0.867132867132867	rs116276741	0.00432979538894707	D	c1	DD	ALLonly
1	MTR	352	1000	236948580	237077281	227.195682841263	0.6003996003996	rs184944001	0.000507814563463929	D	c1	DD	ALLonly
5	MTRR	295	10000	7859216	7911235	519.920812975297	0.0523947605239476	rs1046012	0.00115676270175759	D	c1	DD	ALLonly
1	MUTYH	50	1000	45784913	45816142	20.7817752449479	0.844155844155844	rs9429157	0.182650735794435	D	c1	DD	ALLonly
8	NAT1	431	1000	18017970	18091198	471.763863136283	0.284715284715285	rs11203942	0.010867479115402	D	c1	DD	ALLonly
8	NAT2	241	1e+05	18238754	18268723	735.449158958844	0.00693993060069399	rs4369028	0.0010076225310669	D	c1	DD	ALLonly
4	NFKB1	265	1000	103412485	103548459	249.935946873448	0.35964035964036	rs78492053	0.000929265796167059	D	c1	DD	ALLonly
10	NFKB2	59	10000	104143866	104172286	132.679110858044	0.0128987101289871	rs3781291	0.0101578142201216	D	c1	DD	ALLonly
14	NFKBIA	104	1000	35860715	35883960	63.3058289797949	0.741258741258741	rs75599824	0.00294275951887912	D	c1	DD	ALLonly
19	NFKBIB	77	1000	39380339	39409534	111.79086509403	0.10989010989011	rs148530152	0.011960150494717	D	c1	DD	ALLonly
1	NLRP3	305	1000	247569457	247622406	255.873755787685	0.59040959040959	rs186122086	0.00637121954247009	D	c1	DD	ALLonly
16	NOD2	115	1000	50721049	50776987	121.976478896138	0.27972027972028	rs72796353	0.000124786203353097	D	c1	DD	ALLonly
12	NOS1	529	10000	117635946	117809607	1004.36607690754	0.0234976502349765	rs816363	0.00341062646725254	D	c1	DD	ALLonly
17	NOS2	214	1000	26073791	26137555	177.158784582933	0.47952047952048	rs28998822	0.0595321838384068	D	c1	DD	ALLonly
7	NOS3	121	1000	150678143	150721687	83.0026545297018	0.621378621378621	rs6464119	0.0327198193833667	D	c1	DD	ALLonly
16	NTHL1	69	1000	2079815	2107867	86.3949220419534	0.103896103896104	rs11876	0.00369662797516523	D	c1	DD	ALLonly
3	OGG1	75	1000	9781627	9818353	64.1481371580274	0.504495504495505	rs159151	0.041765115661026	D	c1	DD	ALLonly
12	OLR1	150	1000	10300898	10334790	97.3265723522436	0.596403596403596	rs11053637	0.102060354487391	D	c1	DD	ALLonly
12	P2RX7	374	1000	121560621	121634354	338.268887269308	0.425574425574426	rs17435031	0.0104003935921972	D	c1	DD	ALLonly
1	PARP1	214	1000	226538391	226605801	207.755201934986	0.326673326673327	rs143161050	0.00471016643193978	D	c1	DD	ALLonly
20	PCNA	80	1000	5085598	5117268	131.175524163063	0.136863136863137	rs261345	0.0256823045861815	D	c1	DD	ALLonly
22	PDGFB	142	1000	39609684	39650957	131.114972271508	0.388611388611389	rs4821878	0.000654722739447333	D	c1	DD	ALLonly
4	PDGFC	367	1000	157672762	157902546	225.543579338019	0.764235764235764	rs139268301	0.0203829798858191	D	c1	DD	ALLonly
11	PDGFD	1008	1000	103767913	104045027	996.636110945794	0.40959040959041	rs182230629	0.00390678526048825	D	c1	DD	ALLonly
4	PDGFRA	212	1000	55085263	55174412	139.328729609311	0.616383616383616	rs187489907	0.0278782525975747	D	c1	DD	ALLonly
5	PDGFRB	221	1000	149483401	149545422	280.860023531357	0.125874125874126	rs10062000	0.0126628130751707	D	c1	DD	ALLonly
17	PECAM1	105	1000	62386776	62417083	85.8583955862632	0.48951048951049	rs150894680	0.0198523282011692	D	c1	DD	ALLonly
19	PNKP	71	1000	50354459	50380822	84.6684729493594	0.217782217782218	rs2278838	0.054928736658184	D	c1	DD	ALLonly
8	POLB	126	10000	42185972	42239331	260.567030306412	0.0678932106789321	rs17875731	0.000650669366182871	D	c1	DD	ALLonly
19	POLD1	146	1000	50877579	50931275	168.715255626149	0.257742257742258	rs2445837	0.0679101713830921	D	c1	DD	ALLonly
7	POLD2	81	1000	44144278	44173169	59.8025397450554	0.509490509490509	rs61736256	0.0375176746014178	D	c1	DD	ALLonly
12	POLE	274	1000	133190347	133274110	172.079501700036	0.661338661338661	rs140182208	0.00646110381187655	D	c1	DD	ALLonly
18	POLI	172	1000	51785848	51834604	52.3848922030453	0.873126873126873	rs62091230	0.0698961930180608	D	c1	DD	ALLonly
10	POLL	62	1000	103328638	103358027	52.374182111917	0.347652347652348	rs74537997	0.00983456958495935	D	c1	DD	ALLonly
7	PON1	196	1000	94917668	94963884	71.3644187769217	0.838161838161838	rs2299257	0.0883354501723536	D	c1	DD	ALLonly
9	PTGS1	172	1000	125122808	125167982	160.26378371427	0.360639360639361	rs10306166	0.0222665228732871	D	c1	DD	ALLonly
1	PTGS2	115	1000	186630943	186659559	165.955092669742	0.187812187812188	rs4648250	0.0369225113814034	D	c1	DD	ALLonly
1	PTPN22	148	1000	114346432	114424375	97.2200012148899	0.662337662337662	rs55946257	0.0416913156900366	D	c1	DD	ALLonly
6	RAET1E	115	1000	150194510	150227195	67.9594239128701	0.571428571428571	rs75934860	0.0478058261584476	D	c1	DD	ALLonly
6	RAET1G	88	1000	150228013	150254214	27.514812695923	0.969030969030969	rs142639124	0.122535098965898	D	c1	DD	ALLonly
6	RAET1L	88	1000	150331265	150356668	51.8999171034253	0.629370629370629	rs138838117	0.00155425601258844	D	c1	DD	ALLonly
19	RELB	132	1000	45494706	45551456	144.116325680804	0.336663336663337	rs114248186	0.00654980858580548	D	c1	DD	ALLonly
4	RFC1	182	1000	39279068	39378001	37.5585445026411	0.997002997002997	rs114987525	0.128637519238552	D	c1	DD	ALLonly
7	RFC2	74	1000	73635831	73678788	53.2674895967344	0.612387612387612	rs73129380	0.00218127282153803	D	c1	DD	ALLonly
13	RFC3	401	1000	34382205	34550695	284.650194911132	0.558441558441558	rs11618915	0.00793970640398275	D	c1	DD	ALLonly
3	RFC4	82	1000	186497681	186534484	77.5672014842035	0.332667332667333	rs80023140	0.00176552469024572	D	c1	DD	ALLonly
12	RFC5	112	1000	118444505	118480042	60.5415963326884	0.89010989010989	rs60260780	0.0531586942091134	D	c1	DD	ALLonly
1	SELL	185	1000	169649805	169690843	136.084518878512	0.621378621378621	rs7543304	0.0383653899151093	D	c1	DD	ALLonly
5	SLC22A4	241	1e+06	131620144	131689899	1091.07184574869	0.000473999526000474	rs272862	0.000762410516767509	D	c1	DD	ALLonly
5	SLC22A5	156	1e+06	131695400	131741306	779.598170606355	0.000426999573000427	rs274555	0.000216912514505616	D	c1	DD	ALLonly
12	SMUG1	72	1000	54564141	54592778	69.3917888144162	0.338661338661339	rs2029166	0.0254667602584695	D	c1	DD	ALLonly
2	STAT4	315	1000	191884301	192026322	285.108288901864	0.394605394605395	rs186782988	0.00501610281503218	D	c1	DD	ALLonly
11	TCN1	37	1000	59610280	59644041	23.7636112915808	0.671328671328671	rs150884181	0.0578021006338767	D	c1	DD	ALLonly
22	TCN2	279	1000	30993069	31033047	216.484763657161	0.565434565434565	rs77517564	0.0573348813185799	D	c1	DD	ALLonly
12	TDG	187	1000	104349592	104392656	117.406581443255	0.681318681318681	rs2723848	0.0463802601428577	D	c1	DD	ALLonly
19	TGFB1	102	1000	41826435	41869838	98.8155248802101	0.332667332667333	rs8102501	0.0639706544257189	D	c1	DD	ALLonly
1	TGFB2	272	1000	218508675	218627961	155.669969200577	0.819180819180819	rs75111639	0.037201949237015	D	c1	DD	ALLonly
9	TGFBR1	127	1000	101857411	101926473	154.307021054674	0.196803196803197	rs118078442	0.0224188671314101	D	c1	DD	ALLonly
3	TGFBR2	382	1000	30637993	30745633	420.760802388515	0.218781218781219	rs114565899	0.00214492073650141	D	c1	DD	ALLonly
1	TGFBR3	870	1000	92135899	92381559	812.094040235162	0.382617382617383	rs35352606	0.000201573560208334	D	c1	DD	ALLonly
4	TLR1	127	1000	38787875	38816412	38.1531623936911	0.898101898101898	rs4833103	0.271959499168565	D	c1	DD	ALLonly
4	TLR10	201	1000	38763859	38794611	53.2370312022801	0.935064935064935	rs73142637	0.157357344054343	D	c1	DD	ALLonly
4	TLR2	100	1000	154595440	154637242	138.014295410099	0.144855144855145	rs3804099	0.03446128039625	D	c1	DD	ALLonly
4	TLR3	151	1000	186980308	187016252	120.73452120054	0.531468531468531	rs111307293	0.0103407709169462	D	c1	DD	ALLonly
9	TLR4	95	1000	120456452	120489769	97.7400649643448	0.26973026973027	rs10759934	0.00204394450028167	D	c1	DD	ALLonly
1	TLR5	202	1000	223272747	223326624	376.619107943204	0.0949050949050949	rs72748473	0.00335469640525255	D	c1	DD	ALLonly
4	TLR6	208	1000	38815328	38868438	200.454367485204	0.401598401598402	rs5743815	0.0605257505497629	D	c1	DD	ALLonly
3	TLR9	44	1000	52245095	52270179	52.8892234958804	0.178821178821179	rs138413144	0.0156261697633448	D	c1	DD	ALLonly
6	TNF	87	10000	31533343	31556112	134.36061751594	0.0575942405759424	rs148750464	0.0121393333014422	D	c1	DD	ALLonly
8	TNFRSF10A	196	1000	23038969	23092680	266.064871684053	0.168831168831169	rs62501124	0.0117579249431956	D	c1	DD	ALLonly
12	TNFRSF1A	79	1000	6427922	6461283	45.3942173433182	0.731268731268731	rs4149579	0.089763193662156	D	c1	DD	ALLonly
1	TNFRSF1B	231	1000	12217059	12279277	167.034997401083	0.567432567432567	rs79622525	0.000633208530438461	D	c1	DD	ALLonly
3	TNFSF10	189	1000	172213297	172251297	140.88956089462	0.575424575424575	rs17600346	0.00959808481427822	D	c1	DD	ALLonly
1	TNFSF4	126	1000	173142869	173186471	75.908039257768	0.711288711288711	rs1234313	0.0179521679691086	D	c1	DD	ALLonly
22	TYMP	89	1000	50954180	50978514	46.6787313433759	0.825174825174825	rs2032424	0.030822858379653	D	c1	DD	ALLonly
6	ULBP3	100	1000	150375742	150400202	55.2785261061728	0.75024975024975	rs76255079	0.0203462661283655	D	c1	DD	ALLonly
12	UNG	90	1000	109525398	109558798	83.4155880275218	0.398601398601399	rs186179036	0.00795723204653425	D	c1	DD	ALLonly
12	VDR	261	1000	48225319	48308814	256.890531569108	0.316683316683317	rs10875694	0.0155738104672846	D	c1	DD	ALLonly
19	XRCC1	191	1000	44037463	44089730	219.090960489833	0.223776223776224	rs2682587	0.00835385959487818	D	c1	DD	ALLonly
7	ABCB1	590	1000	87123178	87352639	544.28851835963	0.291708291708292	rs80238698	0.00099959425399831	D	c1	DD	AMLonly
16	ABCC1	858	1000	16033433	16246930	935.079536862352	0.154845154845155	rs6498595	0.00601835615282822	D	c1	DD	AMLonly
13	ABCC4	1530	1000	95662082	95963687	1497.61605614184	0.178821178821179	rs1189449	0.00153541948706991	D	c1	DD	AMLonly
4	ABCG2	574	1000	89001415	89162474	511.808215646556	0.440559440559441	rs13137622	0.0023354511624114	D	c1	DD	AMLonly
14	APEX1	78	1000	20913289	20935931	106.017217393489	0.140859140859141	rs3136817	0.0123100060408419	D	c1	DD	AMLonly
19	C3	295	1000	6667845	6730662	226.89451053455	0.55044955044955	rs79434713	0.000708530692266411	D	c1	DD	AMLonly
19	CARD8	321	1000	48701342	48769203	165.729826728841	0.827172827172827	rs10418239	0.0499740041864385	D	c1	DD	AMLonly
21	CBS	229	1000	44463300	44506472	113.179902557623	0.878121878121878	rs59602964	0.0106406383578431	D	c1	DD	AMLonly
3	CCR5	80	1000	46401632	46427697	31.589627569823	0.884115884115884	rs150203971	0.00143212970483206	D	c1	DD	AMLonly
5	CD14	62	1000	140001312	140023286	17.2596539465608	0.909090909090909	rs11574651	0.181354533062176	D	c1	DD	AMLonly
9	CD274	149	1000	5440502	5480567	179.382379086548	0.222777222777223	rs140286656	0.000399669776079979	D	c1	DD	AMLonly
2	CD28	135	1e+05	204561197	204613636	490.18804437934	0.00501994980050199	rs4675362	0.000245241638062162	D	c1	DD	AMLonly
20	CD40	95	1000	44736905	44768384	79.5007765918091	0.497502497502497	rs3765459	0.0822994729229782	D	c1	DD	AMLonly
3	CD86	191	1000	121764208	121849988	131.747866307776	0.746253746253746	rs73184008	0.00261393289945377	D	c1	DD	AMLonly
10	CHUK	145	1000	101938123	101999344	145.380111208501	0.363636363636364	rs17882852	0.0330829540758949	D	c1	DD	AMLonly
1	CTH	141	1000	70866900	70915534	109.113564411272	0.549450549450549	rs116767084	0.0276178987920314	D	c1	DD	AMLonly
2	CTLA4	57	10000	204722510	204748683	130.050977204256	0.037996200379962	rs733618	0.0212824905080542	D	c1	DD	AMLonly
4	CXCL10	95	1000	76932268	76954689	69.6310396085601	0.455544455544456	rs10000436	0.0837460293697169	D	c1	DD	AMLonly
4	CXCL8	44	1000	74596222	74619433	16.0128208936353	0.775224775224775	rs143838919	0.0253094318965983	D	c1	DD	AMLonly
19	CYP2B6	213	1000	41487203	41534301	185.239861799993	0.407592407592408	rs145533669	0.00509416766280901	D	c1	DD	AMLonly
10	CYP2C19	326	1000	96512462	96622671	253.436496476245	0.508491508491508	rs187302831	0.00534272494750977	D	c1	DD	AMLonly
10	CYP2C9	299	1000	96688414	96759148	121.380975375752	0.83016983016983	rs111595519	0.0260990822605544	D	c1	DD	AMLonly
7	CYP3A5	86	1000	99235811	99287649	35.4610976379383	0.89010989010989	rs28365094	0.0327511951044324	D	c1	DD	AMLonly
14	DAAM1	614	1000	59645380	59848123	1081.18765050116	0.0779220779220779	rs190979615	0.000524713300008913	D	c1	DD	AMLonly
6	EDN1	85	1000	12280528	12307427	57.4391318937318	0.578421578421578	rs74708211	0.00430697712732452	D	c1	DD	AMLonly
6	ESR1	1471	10000	152001630	152434408	2202.97691908705	0.056994300569943	rs56215322	0.00656889350574365	D	c1	DD	AMLonly
10	FAS	225	1000	90740287	90785542	380.197846642931	0.0999000999000999	rs9658685	0.0187457859878114	D	c1	DD	AMLonly
1	FASLG	66	1000	172618184	172646012	58.0516293349325	0.411588411588412	rs12130118	0.0609007697210478	D	c1	DD	AMLonly
1	FCGR2A	125	1000	161465204	161499360	61.2629516334756	0.901098901098901	rs114587108	0.0247271610244427	D	c1	DD	AMLonly
11	FEN1	37	1000	61550108	61574714	62.2358410127009	0.0749250749250749	rs61896141	0.0520769891909617	D	c1	DD	AMLonly
6	GCLC	273	1000	53352139	53419927	249.538397538177	0.381618381618382	rs17884073	0.00501668672771338	D	c1	DD	AMLonly
1	GCLM	153	1000	94342589	94385012	120.504036261654	0.494505494505495	rs148586619	0.0143964413843224	D	c1	DD	AMLonly
22	GGT1	204	1000	24969717	25034972	196.528621321318	0.393606393606394	rs4049897	0.00253143613955176	D	c1	DD	AMLonly
3	GPX1	37	1000	49384608	49405791	18.5004217960801	0.686313686313686	rs114918429	0.0210621238880361	D	c1	DD	AMLonly
14	GPX2	82	1000	65395869	65419623	25.9221104060288	0.938061938061938	rs72728205	0.211013864559592	D	c1	DD	AMLonly
5	GPX3	112	1000	150389998	150418554	160.397525360803	0.0779220779220779	rs79760241	0.00919752747812601	D	c1	DD	AMLonly
6	GSTA1	96	1000	52646177	52678664	48.3796475799319	0.705294705294705	rs148023804	0.039574036467766	D	c1	DD	AMLonly
1	GSTM1	40	10000	110220417	110246367	59.7634964693056	0.0733926607339266	rs144801250	0.000118507761498906	D	c1	DD	AMLonly
1	GSTM2	86	1000	110200643	110236619	86.587828433445	0.337662337662338	rs144801250	0.000118507761498906	D	c1	DD	AMLonly
1	GSTM3	65	1000	110266553	110293660	20.3269429944842	0.929070929070929	rs150489650	0.100916465859131	D	c1	DD	AMLonly
1	GSTM4	100	1000	110188697	110218123	90.9017033821796	0.405594405594406	rs139614270	0.0230534997196548	D	c1	DD	AMLonly
1	GSTM5	108	1000	110244863	110270890	80.038584827612	0.622377622377622	rs112852158	0.00911698509625951	D	c1	DD	AMLonly
11	GSTP1	93	10000	67341065	67364124	212.620437603978	0.0515948405159484	rs6591256	0.028094168909394	D	c1	DD	AMLonly
22	GSTT1	10	1000	24366138	24394284	11.0665397218459	0.322677322677323	rs184092821	0.0560142009055738	D	c1	DD	AMLonly
14	GZMB	84	1000	25090160	25113432	56.5837392194796	0.603396603396603	rs77134747	0.0803595617072523	D	c1	DD	AMLonly
13	HMGB1	59	1000	31022878	31050081	23.4506921188671	0.852147852147852	rs61949687	0.0794519524952625	D	c1	DD	AMLonly
4	HPSE	167	1000	84203613	84266306	155.319260180065	0.425574425574426	rs61751211	0.00474562087457932	D	c1	DD	AMLonly
19	ICAM1	99	1000	10371516	10407291	71.1887660327454	0.628371628371628	rs281434	0.00901934212214937	D	c1	DD	AMLonly
